subscription_id,customer_id,product_id,plan,quantity,billing_interval,price,currency,start_date,renewal_date,status,coupon_id
sub_00001,cust_00001,prod_starter_yr,Starter,8,annual,678.50,GBP,2023-01-01,2024-01-01,active,
sub_00002,cust_00002,prod_growth_mo,Growth,4,monthly,115.00,GBP,2023-01-06,2023-02-06,active,
sub_00003,cust_00003,prod_professional_mo,Professional,16,monthly,235.75,GBP,2023-01-12,2023-02-12,active,
sub_00004,cust_00004,prod_business_mo,Business,8,monthly,461.15,GBP,2023-01-18,2023-02-18,active,
sub_00005,cust_00005,prod_starter_yr,Starter,23,annual,678.50,GBP,2023-01-24,2024-01-24,active,
sub_00006,cust_00006,prod_growth_mo,Growth,19,monthly,115.00,GBP,2023-01-30,2023-02-28,active,
sub_00007,cust_00007,prod_professional_mo,Professional,1,monthly,212.18,GBP,2023-02-05,2023-03-05,active,
sub_00008,cust_00008,prod_business_mo,Business,3,monthly,461.15,GBP,2023-02-11,2023-03-11,active,
sub_00009,cust_00009,prod_starter_yr,Starter,24,annual,678.50,GBP,2023-02-17,2024-02-17,active,
sub_00010,cust_00010,prod_growth_mo,Growth,19,monthly,115.00,GBP,2023-02-22,2023-03-22,active,
sub_00011,cust_00011,prod_professional_mo,Professional,23,monthly,235.75,GBP,2023-02-28,2023-03-28,active,
sub_00012,cust_00012,prod_business_mo,Business,8,monthly,461.15,GBP,2023-03-06,2023-04-06,active,
sub_00013,cust_00013,prod_starter_yr,Starter,17,annual,678.50,GBP,2023-03-12,2024-03-12,active,
sub_00014,cust_00014,prod_growth_mo,Growth,3,monthly,115.00,GBP,2023-03-18,2023-04-18,active,
sub_00015,cust_00015,prod_professional_mo,Professional,16,monthly,235.75,GBP,2023-03-24,2023-04-24,active,
sub_00016,cust_00016,prod_business_mo,Business,25,monthly,461.15,GBP,2023-03-30,2023-04-30,active,
sub_00017,cust_00017,prod_starter_yr,Starter,19,annual,678.50,GBP,2023-04-05,2024-04-05,active,
sub_00018,cust_00018,prod_growth_mo,Growth,5,monthly,115.00,GBP,2023-04-10,2023-05-10,active,
sub_00019,cust_00019,prod_professional_mo,Professional,12,monthly,235.75,GBP,2023-04-16,2023-05-16,active,
sub_00020,cust_00020,prod_business_mo,Business,10,monthly,461.15,GBP,2023-04-22,2023-05-22,active,
sub_00021,cust_00021,prod_starter_yr,Starter,9,annual,678.50,GBP,2023-04-28,2024-04-28,active,
sub_00022,cust_00022,prod_growth_mo,Growth,18,monthly,115.00,GBP,2023-05-04,2023-06-04,active,
sub_00023,cust_00023,prod_professional_mo,Professional,23,monthly,235.75,GBP,2023-05-10,2023-06-10,active,
sub_00024,cust_00024,prod_business_mo,Business,6,monthly,461.15,GBP,2023-05-16,2023-06-16,active,
sub_00025,cust_00025,prod_starter_yr,Starter,6,annual,678.50,GBP,2023-05-22,2024-05-22,active,
sub_00026,cust_00026,prod_growth_mo,Growth,10,monthly,115.00,GBP,2023-05-28,2023-06-28,active,
sub_00027,cust_00027,prod_professional_mo,Professional,7,monthly,235.75,GBP,2023-06-02,2023-07-02,active,
